GeneID	PubMed_ID	Disease_Mondo_ID	TF_IDs
7157	1088347	MONDO:0001834, MONDO:0001987, MONDO:0017886	DDIT3, JUN, ATF3
7157	1303181	MONDO_0019596, MONDO_0007296	SP1, AP2, YY1, USF
7157	1321290	MONDO:0005278, MONDO:0002001, MONDO:0006314, MONDO:0005148, MONDO:0006126, MONDO:0006101, MONDO:0005807, MONDO:0007909, MONDO:0004880, MONDO:0007915, MONDO:0007663, MONDO:0011288, MONDO:0003135, MONDO:0002172, MONDO:0001900	AP-2, SP1, AP-1, NF-kappa B
7157	1327751	MONDO_0005041,MONDO_0015516,MONDO_0016393,MONDO_0020066,MONDO_0020859,MONDO_0021198,MONDO_0024091,MONDO_0085023	SP1, STAT1, STAT3, STAT5A
7157	1349102	MONDO_0018874, MONDO_0019267, MONDO_0019269	ELK1, SP1
7157	1349175	MONDO:0005267, MONDO:0003842, MONDO:0017883	SP1, YY1
7157	1394225	MONDO:0005273, MONDO:0001076	GATA1, E2F1, SP1, YY1
7157	1437144	MONDO_0001131, MONDO_0008956, MONDO_0005263	SPI1, ETS1, FOS, JUN
7157	1454855	MONDO:0000608, MONDO:0001161, MONDO:0008573, MONDO:0022739, MONDO:0022901	SP1, Sp3, AP-2, EGR, PEA3
7157	1459726	MONDO_0009565, MONDO_0018892, MONDO_0009833, MONDO_0020411	SP1, SP1 and SP1.
7157	1465435	MONDO:0005379, MONDO:0005573, MONDO:0005493	ELK1, SREBP-1, ETS-1
7157	1565143	MONDO:0007254, MONDO:0019391, MONDO:0019392, MONDO:0019393, MONDO:0019394	AP-1, CREB, ETS, NF-kappa B
7157	1565144	MONDO:0008903, MONDO:0006920, MONDO:0008031	SP1, AML1, ETS1, ETF, WT1, CEBP, MEF2A, SP1 (YY1), NRF1, MYB, AML1, AP2, NFKB, SRF
7157	1591732	MONDO:0007199, MONDO:0005248, MONDO:0006643	PU.1, C/EBP, GATA-1
