# gene	views	view_delta	view_rank	view_rank_delta
CRP	1097	1097	1	0
AVP	964	964	2	0
EPO	762	762	3	0
SST	762	762	4	0
TP53	562	562	5	0
TTN	560	560	6	0
TNF	535	535	7	0
APOE	514	514	8	0
GCG	511	511	9	0
MB	506	506	10	0
MTOR	477	477	11	0
BRCA1	465	465	12	0
EGFR	458	458	13	0
IGF1	453	453	14	0
CYP3A4	449	449	15	0
PTH	445	445	16	0
GPT	444	444	17	0
HTR2A	429	429	18	0
ALB	421	421	19	0
LEP	417	417	20	0
PDCD1	386	386	21	0
IL6	376	376	22	0
CYP2D6	370	370	23	0
CALCA	366	366	24	0
ACHE	350	350	25	0
MYC	342	342	26	0
BDNF	333	333	27	0
MKI67	329	329	28	0
REN	326	326	29	0
CCK	323	323	30	0
MAOA	319	319	31	0
IL2	317	317	32	0
LCT	302	302	33	0
CD4	298	298	34	0
AMH	297	297	35	0
HTR1A	292	292	36	0
AGT	291	291	37	0
ADRB2	282	282	38	0
RHO	278	278	39	0
CD274	276	276	40	0
MAPT	272	272	41	0
F2	269	269	42	0
PLAT	269	269	43	0
CDKN2A	263	263	44	0
CTLA4	260	260	45	0
SHBG	259	259	46	0
KRAS	259	259	47	0
TRPV1	251	251	48	0
TEX9	251	251	49	0
VWF	249	249	50	0
CYCS	248	248	51	0
HMGCR	248	248	52	0
AR	247	247	53	0
LTF	240	240	54	0
KLK3	240	240	55	0
GNRH1	240	240	56	0
F8	237	237	57	0
ARHGAP11B	234	234	58	0
APOB	233	233	59	0
PCSK9	232	232	60	0
TF	231	231	61	0
HP	228	228	62	0
HAMP	218	218	63	0
CYP19A1	215	215	64	0
CCR5	214	214	65	0
B2M	210	210	66	0
BCL2	210	210	67	0
SNCA	207	207	68	0
ABCB1	205	205	69	0
CBLIF	204	204	70	0
AFP	201	201	71	0
MSTN	201	201	72	0
BRAF	201	201	73	0
KEL	200	200	74	0
ADRB1	200	200	75	0
FN1	199	199	76	0
GAST	198	198	77	0
IL10	198	198	78	0
G6PD	198	198	79	0
DRD2	198	198	80	0
CD19	195	195	81	0
ACE2	193	193	82	0
EGF	192	192	83	0
MS4A1	192	192	84	0
SLC6A4	192	192	85	0
ACE	190	190	86	0
TG	183	183	87	0
CD34	183	183	88	0
ABCC11	182	182	89	0
HRH1	182	182	90	0
CRH	179	179	91	0
CDKN1A	178	178	92	0
LPA	176	176	93	0
IL1B	174	174	94	0
SRC	169	169	95	0
CFTR	169	169	96	0
INSR	168	168	97	0
HIF1A	168	168	98	0
VIP	167	167	99	0
FOXP2	167	167	100	0
DMD	166	166	101	0
GAPDH	165	165	102	0
SLC6A2	163	163	103	0
OPRM1	160	160	104	0
CYP1A2	159	159	105	0
CASP3	159	159	106	0
PTPRC	158	158	107	0
CCL2	156	156	108	0
GIP	155	155	109	0
RB1	153	153	110	0
CD38	153	153	111	0
MPO	150	150	112	0
KIT	150	150	113	0
SERPINC1	150	150	114	0
IL4	150	150	115	0
CXCL8	148	148	116	0
NGF	146	146	117	0
NFE2L2	146	146	118	0
CD28	144	144	119	0
CD44	144	144	120	0
HTR2C	144	144	121	0
NR3C1	143	143	122	0
PROC	142	142	123	0
OPRK1	142	142	124	0
TH	141	141	125	0
EAPP	141	141	126	0
CSF3	140	140	127	0
GFAP	139	139	128	0
CYP2C9	139	139	129	0
CD40	138	138	130	0
SLC6A3	138	138	131	0
SHH	136	136	132	0
F3	135	135	133	0
TNFSF11	135	135	134	0
PECAM1	135	135	135	0
CD69	134	134	136	0
NLRP3	134	134	137	0
CYP2C19	133	133	138	0
MTHFR	133	133	139	0
CD14	132	132	140	0
ELN	132	132	141	0
CNR1	131	131	142	0
CDK2	131	131	143	0
PLG	130	130	144	0
AHR	130	130	145	0
PTEN	130	130	146	0
SERPINA1	130	130	147	0
EGFLAM	130	130	148	0
