# gene	views	view_delta	view_rank	view_rank_delta
AVP	683	683	1	0
CRP	603	603	2	0
GCG	598	598	3	0
EPO	451	451	4	0
ABCC11	376	376	5	0
MB	347	347	6	0
IGF1	320	320	7	0
LEP	319	319	8	0
HTR2A	311	311	9	0
TTN	299	299	10	0
GPT	282	282	11	0
GDF15	280	280	12	0
PTH	279	279	13	0
ALB	273	273	14	0
BDNF	262	262	15	0
MSTN	262	262	16	0
CCR5	256	256	17	0
TNF	239	239	18	0
CYP2D6	237	237	19	0
MTOR	234	234	20	0
APOE	231	231	21	0
HTR1A	226	226	22	0
CYP3A4	223	223	23	0
LCT	222	222	24	0
MAOA	200	200	25	0
TP53	199	199	26	0
APOB	196	196	27	0
MTHFR	184	184	28	0
AMH	181	181	29	0
MAPT	180	180	30	0
OPRM1	180	180	31	0
SHBG	179	179	32	0
SST	178	178	33	0
KLK3	177	177	34	0
AR	172	172	35	0
OR6A2	163	163	36	0
CCK	162	162	37	0
DRD2	157	157	38	0
CALCA	155	155	39	0
AGT	151	151	40	0
CBLIF	145	145	41	0
IL6	141	141	42	0
REN	140	140	43	0
SNCA	140	140	44	0
VWF	140	140	45	0
TRPV1	139	139	46	0
F2	136	136	47	0
RHO	136	136	48	0
CD4	136	136	49	0
BRCA1	135	135	50	0
ADRB2	135	135	51	0
HMGCR	131	131	52	0
SIGMAR1	129	129	53	0
HP	128	128	54	0
GNRH1	126	126	55	0
SLC6A4	126	126	56	0
LTF	123	123	57	0
EGFR	121	121	58	0
ACHE	120	120	59	0
LPA	118	118	60	0
MYC	118	118	61	0
OPRK1	115	115	62	0
CYP19A1	114	114	63	0
PCSK9	113	113	64	0
F8	111	111	65	0
TG	110	110	66	0
FST	109	109	67	0
CRH	105	105	68	0
NGF	105	105	69	0
SERPINA1	105	105	70	0
ACE	104	104	71	0
HTR2C	104	104	72	0
TF	103	103	73	0
HRH1	103	103	74	0
IL2	100	100	75	0
CD274	100	100	76	0
MC1R	97	97	77	0
FOXP2	96	96	78	0
PROC	96	96	79	0
ABCB1	96	96	80	0
MPO	95	95	81	0
VIP	94	94	82	0
GAST	94	94	83	0
MKI67	94	94	84	0
SLC6A3	93	93	85	0
CYP1A2	93	93	86	0
CSF3	91	91	87	0
PDCD1	91	91	88	0
ADRB1	91	91	89	0
ACE2	90	90	90	0
POMC	87	87	91	0
KRAS	87	87	92	0
EGF	86	86	93	0
CDKN2A	86	86	94	0
PPP1R1B	85	85	95	0
FN1	81	81	96	0
PTEN	81	81	97	0
G6PD	80	80	98	0
ELN	79	79	99	0
KEL	78	78	100	0
ALDH2	77	77	101	0
HAMP	77	77	102	0
BCL2	77	77	103	0
SHH	76	76	104	0
CYCS	74	74	105	0
INSR	73	73	106	0
SLC6A2	73	73	107	0
DMD	72	72	108	0
AFP	72	72	109	0
MUC5B	72	72	110	0
IAPP	70	70	111	0
PDE5A	70	70	112	0
CYP2C19	69	69	113	0
BRAF	69	69	114	0
CP	68	68	115	0
CD19	67	67	116	0
GLP1R	67	67	117	0
CFTR	66	66	118	0
CSF2	66	66	119	0
IL1B	66	66	120	0
MME	65	65	121	0
PLG	64	64	122	0
NPY	63	63	123	0
PPARG	63	63	124	0
HIF1A	63	63	125	0
BTK	62	62	126	0
RB1	62	62	127	0
CSH1	62	62	128	0
F10	61	61	129	0
ADIPOQ	61	61	130	0
SLC18A2	61	61	131	0
TAAR1	61	61	132	0
TMSB4X	60	60	133	0
DRD1	60	60	134	0
DRD4	59	59	135	0
NR3C1	59	59	136	0
TNFSF11	58	58	137	0
ADAMTS13	58	58	138	0
TTR	57	57	139	0
BRCA2	57	57	140	0
FOSB	56	56	141	0
HOXD13	56	56	142	0
F3	55	55	143	0
B2M	55	55	144	0
KIT	55	55	145	0
UMOD	55	55	146	0
MS4A1	54	54	147	0
GCK	53	53	148	0
SIRT1	53	53	149	0
NFE2L2	53	53	150	0
CST3	52	52	151	0
HBB	52	52	152	0
IL10	52	52	153	0
TGFB1	52	52	154	0
PYY	51	51	155	0
DHFR	51	51	156	0
CYP2C9	51	51	157	0
PRNP	51	51	158	0
CDK2	51	51	159	0
PTGER4	51	51	160	0
TH	50	50	161	0
DNTT	50	50	162	0
CXCL8	50	50	163	0
KISS1	49	49	164	0
LPL	48	48	165	0
GAPDH	48	48	166	0
ADRB3	48	48	167	0
TAS2R4	48	48	168	0
UHMK1	48	48	169	0
CD34	47	47	170	0
SERPINA7	47	47	171	0
SERPINC1	47	47	172	0
CFH	47	47	173	0
CPT1A	47	47	174	0
ACKR1	46	46	175	0
CHRM1	46	46	176	0
HFE	45	45	177	0
DICER1	45	45	178	0
SERPING1	45	45	179	0
GHRH	45	45	180	0
PGR	45	45	181	0
UBE3A	45	45	182	0
NR1H4	45	45	183	0
TERT	45	45	184	0
FURIN	45	45	185	0
PPY	44	44	186	0
CDKN1A	44	44	187	0
CHGA	44	44	188	0
HTR2B	44	44	189	0
JAK2	44	44	190	0
EGFLAM	44	44	191	0
APC	43	43	192	0
PC	43	43	193	0
RET	43	43	194	0
DPP4	43	43	195	0
HRH2	43	43	196	0
ADRA2A	43	43	197	0
PCNA	42	42	198	0
LDLR	41	41	199	0
AHR	41	41	200	0
BCHE	41	41	201	0
OPN4	41	41	202	0
RELA	41	41	203	0
VIM	40	40	204	0
GFAP	40	40	205	0
HTT	40	40	206	0
PLAU	40	40	207	0
HGF	40	40	208	0
PTHLH	40	40	209	0
BGLAP	40	40	210	0
TRPA1	40	40	211	0
IL4	40	40	212	0
ADORA2A	40	40	213	0
CCL2	39	39	214	0
CXCR4	39	39	215	0
CD38	39	39	216	0
ABCA12	39	39	217	0
ADORA1	39	39	218	0
ESR1	39	39	219	0
DYRK1A	39	39	220	0
ATM	38	38	221	0
DBH	38	38	222	0
NOS3	38	38	223	0
A2M	38	38	224	0
PTPRC	38	38	225	0
NLRP3	38	38	226	0
LPAR2	38	38	227	0
MAOB	38	38	228	0
MECP2	38	38	229	0
CYP3A	38	38	230	0
ADAM22	38	38	231	0
VDR	37	37	232	0
ABL1	37	37	233	0
FASLG	37	37	234	0
P2RY12	37	37	235	0
TARDBP	37	37	236	0
CTCF	37	37	237	0
ICAM1	36	36	238	0
OPRD1	36	36	239	0
HRH3	35	35	240	0
AICDA	35	35	241	0
TRPM8	35	35	242	0
AKT1	35	35	243	0
STAT3	35	35	244	0
